id,stk_name,日期:
559,国信证券,6月5日
560,东兴证券,6月5日
561,申万宏源,6月5日
562,搜于特,6月5日
563,江苏国信,6月5日
564,华立股份,6月5日
565,誉衡药业,6月5日
566,张江高科,6月5日
567,中信证券,6月5日
568,申万宏源,6月5日
569,南天信息,6月5日
570,新易盛,6月5日
571,中兴通讯,6月5日
572,海通证券,6月5日
573,太平洋,6月6日
574,浙商证券,6月6日
575,中原证券,6月6日
576,广发证券,6月6日
577,财通证券,6月6日
578,天风证券,6月6日
579,华安证券,6月6日
580,中信建投,6月6日
581,中信证券,6月6日
582,国泰君安,6月6日
583,中国银河,6月6日
584,海通证券,6月6日
585,华泰证券,6月6日
586,南京证券,6月6日
587,东吴证券,6月6日
588,招商证券,6月6日
589,光大证券,6月6日
590,方正证券,6月6日
591,科迪乳业,4月27日
592,加加食品,6月5日
596,招商证券,6月5日
597,中信建投,6月5日
598,国金证券,6月5日
599,中信证券,6月5日
600,华安证券,6月5日
601,广发证券,6月5日
602,国信证券,6月5日
603,华泰证券,6月5日
604,茂硕电源,6月24日
605,汇洁股份,6月6日
606,贵人鸟,6月6日
607,美邦服饰,6月6日
608,四川长虹,6月6日
609,太极集团,6月6日
610,人福医药,6月6日
611,白云山,6月6日
612,中顺洁柔,6月6日
613,红墙股份,6月6日
614,姚记扑克,6月6日
615,仁和药业,6月6日
616,荣泰健康,6月6日
617,和而泰,6月6日
618,中国联通,6月6日
619,中兴通讯,6月6日
620,国脉科技,6月6日
621,拓斯达,6月6日
622,机器人,6月6日
623,拉卡拉,5月31日
624,农产品,6月7日
625,远程股份,1月21日
626,天夏智慧,1月21日
627,东方航空,10月1日
628,海通证券,6月6日
629,贵州茅台,6月6日
630,网宿科技,6月6日
631,贵州茅台,6月6日
632,水井坊,6月6日
633,比亚迪,6月6日
634,老百姓,6月6日
635,宁德时代,6月6日
636,长安汽车,6月6日
640,天夏智慧,6月5日
641,贵州茅台,6月6日
642,水井坊,6月6日
643,方盛制药,6月6日
644,北京银行,6月6日
645,中国银行,6月6日
646,华明装备,1月14日
647,比亚迪,1月14日
648,歌华有线,1月14日
649,福田汽车,1月14日
650,五矿稀土,5月3日
651,中信国安,5月6日
652,华林证券,5月6日
653,有研新材,5月6日
654,金力永磁,5月6日
655,中钢天源,5月6日
656,中兴通讯,5月6日
657,新希望,5月6日
658,贵州茅台,5月6日
659,豫光金铅,5月6日
665,金力永磁,6月6日
666,银河磁体,6月6日
667,中钢天源,6月6日
668,有研新材,6月6日
669,北矿科技,6月6日
670,金力永磁,6月6日
671,横店东磁,6月6日
672,中色股份,6月6日
673,中国联通,6月6日
674,国金证券,6月6日
675,工业富联,6月11日
676,宁德时代,6月11日
677,环球印务,6月11日
678,三德科技,6月11日
679,南京证券,6月11日
680,上海沪工,6月11日
681,绿色动力,6月11日
682,亿嘉和,6月11日
683,国立科技,6月11日
684,苏奥传感,6月11日
685,联得装备,6月11日
686,天宇股份,6月11日
687,英维克,6月11日
688,桐昆股份,6月11日
689,实达集团,6月11日
690,国瓷材料,6月11日
691,金科文化,6月11日
692,摩登大道,6月11日
693,伟星股份,6月11日
694,东土科技,6月11日
695,美都能源,6月11日
696,润欣科技,6月11日
697,宁波联合,6月11日
698,海通证券,7月1日
699,国金证券,5月20日
706,中昌数据,6月6日
707,中国银河,6月6日
708,东兴证券,6月6日
709,太平洋,6月6日
710,金证股份,6月6日
711,东北证券,6月6日
712,中国银河,6月6日
713,沈阳机床,6月26日
714,加加食品,6月4日
715,科融环境,6月3日
716,长园集团,6月1日
717,证券名称,6月1日
718,天齐锂业,06月06日
719,信维通信,06月06日
720,欧菲光,06月06日
721,银河磁体,06月06日
722,中钢天源,06月06日
723,德宏股份,06月06日
724,有研新材,06月06日
725,北矿科技,06月06日
726,中信国安,06月06日
727,上港集团,06月06日
728,有研新材,6月6日
729,银泰资源,6月6日
730,吴通控股,6月6日
737,东北证券,6月24日
738,铭普光磁,6月24日
739,华脉科技,6月24日
740,欣天科技,6月24日
741,招商证券,6月24日
742,万向德农,6月24日
743,敦煌种业,6月24日
744,苏垦农发,6月24日
745,国泰集团,6月24日
746,银河磁体,6月24日
747,德宏股份,6月24日
748,华林证券,6月24日
749,光大证券,6月24日
771,中兴通讯,6月5日
772,汇源通信,6月5日
773,北大荒,6月5日
774,福蓉科技,6月5日
775,中信证券,6月5日
776,农业银行,6月5日
777,双塔食品,6月5日
778,综艺股份,6月5日
779,明阳电路,6月5日
780,中国平安,6月5日
781,贵州茅台,6月5日
782,金逸影视,6月5日
783,美尚生态,6月5日
784,三湘印象,6月5日
785,合兴包装,6月5日
786,三角防务,6月5日
787,惠城环保,6月5日
788,吉翔股份,6月5日
789,九洲药业,6月5日
790,通威股份,5月31日
791,中兴通讯,5月31日
792,格林美,5月31日
793,美的集团,5月31日
794,格力电器,5月31日
795,宁德时代,5月31日
796,中信证券,5月31日
797,新华保险,5月31日
798,五粮液,5月31日
799,中国巨石,5月31日
800,海螺水泥,5月31日
801,申通快递,5月31日
802,方大特钢,5月31日
803,南方航空,5月31日
804,南极电商,5月31日
805,晨光文具,5月31日
806,中南建设,5月31日
807,恩捷股份,5月31日
808,三一重工,5月31日
809,隆基股份,5月31日
810,泰格医药,5月31日
811,天顺风能,5月31日
812,广发证券,5月31日
813,天风证券,5月31日
814,财通证券,5月31日
815,东北证券,5月31日
816,招商证券,5月31日
817,国金证券,5月31日
818,东吴证券,5月31日
819,金新农,5月31日
820,光大证券,5月31日
821,长源电力,5月31日
822,中信国安,6月5日
823,茂硕电源,6月5日
824,合众思壮,6月5日
833,中国船舶,6月5日
834,中国重工,6月5日
835,重庆钢铁,6月5日
836,上海银行,5月21日
837,中信证券,5月21日
838,马钢股份,6月2日
840,中信证券,6月2日
841,国信证券,6月2日
842,海通证券,5月24日
843,金融街,5月24日
844,和而泰,5月24日
845,三星新材,5月24日
846,安图生物,5月24日
847,英科医疗,5月24日
848,北京文化,5月24日
849,新莱应材,5月24日
850,索菲亚,5月24日
851,滨化股份,5月24日
852,天赐材料,5月24日
857,中信证券,6月6日
858,交通银行,6月6日
859,光大证券,6月6日
860,兴业银行,6月6日
861,方正证券,6月6日
862,海通证券,6月5日
863,金力永磁,6月5日
864,银河磁体,6月5日
865,有研新材,6月5日
866,中钢天源,6月5日
867,北矿科技,6月5日
868,天风证券,6月5日
869,招商银行,6月5日
870,兴业银行,6月5日
871,中国平安,6月5日
900,迪贝电气,6月6日
901,方正电机,6月6日
902,南兴装备,6月6日
903,汉森制药,6月6日
904,福建金森,6月6日
905,天晟新材,6月6日
906,凯恩股份,6月6日
907,南风股份,6月6日
908,风华高科,6月6日
909,弘高创意,6月6日
910,合纵科技,6月6日
911,格力电器,4月8日
912,山东黄金,4月8日
913,北方稀土,4月8日
914,恒瑞医药,4月8日
915,长春高新,4月8日
916,贵州茅台,4月8日
917,金螳螂,4月8日
918,阳光城,4月8日
919,杰瑞股份,4月8日
920,紫光国微,4月8日
921,浪潮信息,4月8日
922,拓尔思,4月8日
923,广汇能源,4月8日
924,启迪桑德,4月8日
925,航天信息,4月8日
926,石基信息,4月8日
927,东华软件,4月8日
928,伊利股份,4月8日
929,中航电子,4月8日
930,亨通光电,4月8日
931,信息发展,4月8日
932,乐普医疗,4月8日
933,爱尔眼科,4月8日
934,片仔癀,4月8日
935,智飞生物,4月8日
936,华东医药,4月8日
937,三六零,4月8日
938,顺丰控股,4月8日
939,万华化学,4月8日
940,中国国旅,4月8日
941,上海机场,4月8日
942,牧原股份,4月8日
943,云南白药,4月8日
944,七匹狼,4月8日
945,登海种业,4月8日
946,金种子酒,4月8日
947,鹏欣资源,4月8日
948,天齐锂业,4月8日
949,方大炭素,4月8日
950,首旅酒店,4月8日
951,贝达药业,6月5日
952,恒瑞医药,6月5日
953,坚瑞沃能,10月28日
954,证券名称,10月28日
955,北京银行,1月6日
956,史丹利,1月1日
957,徐工机械,4月16日
958,汇顶科技,5月30日
959,兆易创新,5月30日
960,鲁商置业,6月5日
961,延安必康,6月4日
962,江苏国信,9月17日
963,华夏银行,9月17日
964,国信证券,9月17日
965,瑞康医药,4月25日
966,奥普光电,6月3日
967,华微电子,6月3日
968,风华高科,6月3日
969,东风科技,6月1日
970,东风汽车,6月1日
973,保利地产,6月1日
975,同花顺,5月16日
976,城地股份,5月24日
977,中化岩土,5月24日
980,风华高科,12月20日
981,一汽轿车,5月29日
982,一汽夏利,5月29日
983,康弘药业,5月16日
984,碧水源,5月27日
985,招商证券,5月27日
986,津膜科技,5月27日
987,国祯环保,5月27日
988,万邦达,5月27日
989,山东威达,2月23日
990,唐德影视,5月28日
991,中信建投,5月28日
992,维科技术,5月28日
996,科迪乳业,5月27日
997,人民网,5月27日
998,天翔环境,5月29日
999,中原证券,5月29日
1001,宁德时代,6月7日
1002,比亚迪,6月7日
1003,国新能源,6月7日
1006,农产品,5月30日
1023,农产品,6月7日
1025,农产品,7月31日
1026,视觉中国,6月7日
1027,交通银行,6月7日
1030,农产品,6月1日
1031,山西汾酒,5月30日
1032,舍得酒业,5月30日
1033,金徽酒,5月30日
1034,老白干酒,5月30日
1035,金种子酒,5月30日
1036,华昌化工,6月5日
1037,云南能投,6月5日
1038,华能水电,6月5日
1039,汇顶科技,6月5日
1040,天夏智慧,6月5日
1041,瑞和股份,6月5日
1042,青岛海尔,6月5日
1043,露笑科技,6月5日
1044,顺灏股份,6月5日
1045,兴业矿业,5月22日
1046,国金证券,5月22日
1047,科大讯飞,5月25日
1048,天目湖,3月8日
1049,鸿博股份,6月3日
1050,华夏银行,6月3日
1051,金融街,6月3日
1052,万讯自控,6月4日
1053,招商证券,6月4日
1056,汇顶科技,6月5日
1058,晓程科技,6月13日
1059,中国石油,6月7日
1060,天目湖,3月8日
1061,鸿博股份,6月3日
1062,华夏银行,6月3日
1063,金融街,6月3日
1064,万讯自控,6月4日
1065,招商证券,6月4日
1068,汇顶科技,6月5日
1070,晓程科技,6月13日
1074,文灿股份,6月5日
1075,中信建投,6月5日
1081,数据港,6月8日
1082,博敏电子,6月8日
1083,东方证券,5月30日
1084,国泰君安,5月30日
1085,新国都,6月8日
1086,交通银行,6月7日
1087,贵州茅台,6月6日
1088,古井贡酒,6月6日
1089,泸州老窖,6月6日
1090,宁德时代,6月7日
1091,农产品,6月1日
1092,新华网,5月30日
1094,招商银行,6月2日
1095,中信证券,5月28日
1096,格力电器,4月8日
1097,山东黄金,4月8日
1098,北方稀土,4月8日
1099,恒瑞医药,4月8日
1100,长春高新,4月8日
1101,贵州茅台,4月8日
1102,金螳螂,4月8日
1103,阳光城,4月8日
1104,杰瑞股份,4月8日
1105,紫光国微,4月8日
1106,浪潮信息,4月8日
1107,拓尔思,4月8日
1108,广汇能源,4月8日
1109,启迪桑德,4月8日
1110,航天信息,4月8日
1111,石基信息,4月8日
1112,东华软件,4月8日
1113,伊利股份,4月8日
1114,中航电子,4月8日
1115,亨通光电,4月8日
1116,信息发展,4月8日
1117,乐普医疗,4月8日
